Name,andere Schreibweisen,Kommentar,Kommentar 2
"Salvic, Marten",,[G]1657-04-10,
"Schlüter, Jobst","Sluyter, Joost",[G]1654-03-27,Bremer Schiffer
"Seba, [x]ke",,[G]1653-05-08,
"Segebahde, Elck","Segebaer, Elke",[G]1657-12-14,Bremer Schiffer
"Simons, [Jerman]",,[G]1653-05-01,
"Simons, Jen [?]",,[G]1657-10-09,
"Siphens, Pieter",,[G]1654-05-07,
"Sluyn, Conrnelis Jacobsen",,[G]1658-01-09,
"Sluyter, Direck",,[G]1649-07-02,
"Shnack, Johann Harmensen ","Snack, Harmanes",[G]1656-04-25,Bremer Schiffer
"Spieuw, Piter",,[G]1655-05-27,
"Stoer, Albert",,[G]1653-04-25,
"Syesses [?], Broer",,[G]1654-05-20,
"Tagtt, Ambrosius",,[G]1654-04-13,
"Tamene, Marten",,[G]1657-09-28,
"Thomassen, Claes",,[G]1653-04-18,
"Thonisen, Thonis",,[G]1655-05-07,
"Tiebbes, Willem",,[G]1653-10-23,
"Timmerman, Dirck",,[G]1656-05-06,
"Tuges, Jürgen",,[G]1657-10-02,Bremer Schiffer
"Viekens, Jan",,[G]1654-09-14,
"Voelis, [xouver?]",,[G]1660-10-28,
"Vos, Willem",,[G]1649-07-02,
"Vossens, Remmert",,[G]1653-10-25,
"Wartyes, Volckert","Waertjens, Volckert",[G]1660-08-28,Bremer Schiffer
"Wemmers, Dirck",,[G]1653-05-12,
"Wemxkes [?], Dirick",,[G]1654-09-10,
"Wibess, Volckert",,[G]1656-05-05,Bremer Schiffer
"Wilckens, Johann","Wilken, Jan;  Willekens, Jan; Wilkensen, Jan",[G]1657-05-16,Bremer Schiffer
"Wolkers, Volchart",,[G]1654-01-14,
"Worsten [?], Pieter van",,[G]1653-05-13,
"Wulfes, Magnus",,[G]1656-05-31,
