Name,andere Schreibweisen,Geburtszeitpunkt,Sterbezeitpunkt,Kommentar
"Maelstade, Johan",,,,
"Malpaert, Louis",,,,
"Malpaert, Nicolas",,,,
"Man, Adrian de",,,,
"Mazel, Elias",,,,
"Mentz, Johan",Mehnss; Menss,,1712,vor 1713
"Meulen, Ndries van der",,1549,1611-01-03,
"Meulen, Daniel van der",,1554,1600,
"Mickielsz, Pieter",,,,
"Molenijser, Barent",,,,
"Moll, Victor",,,,
"Müller, Hinrich",,,,
"Munster, Berendt von",,,,
"Nacke, Härmen",,,,
"Nacke, Johan",,,,
"Nacke, (Wynke?)",,,,
"Nantes, Jürgen",,,,
"Offen, Mester",,,,
"Pelsaert, Francois",,,,
"Pilon, Jean Baptiste",,,,
"Pralle, Dierich",,,,
"Pralle, Heinrich",,,,
"Pralle, Johan",,,,
"Prange, Arent II",,,,
"Prange, Helmke",,1611,1644,
"Prange, Johan I",,,,
"Prange, Johan II",,,,
"Prange, Johan III",,,,
"Prange, Johan IV",,,,
"Prange, Jost",,1615,1653,
"Prange, Jost III",,,,
"Pundt, Hinrich",,,,
"Quellinus, Artus I",,1609,1668,
"Quitter, Her,amm Heinrich de",,1628,1708,
"Rehne, Simon von",,,,
"Reichwein, Nicolaus",,,,
"Reimer, Carel Frederick",,,,
Renner,,,,
"Rij, Cornelis Danckerts de",,1561,1634,
"Rothfeld, Albert",,,,
"Rotfeld, Menni",,,,
"Santfoort, Barent",,,,
"Specks, ?",,,,
"Spiering, Hendrik",,,,
"Swanenburgh, Gerrit Barentsz.",,1605,1669,
"Swaenswijk, Isaac",,,,
"Swanenburg, Isaak Klaassen",Claesz.,,,
"Schluter, (Borgus?)",,,,
"Staan, Gowerus van",,,,
Starkenburg; Jochen,,,,
"Stalpaert, Daniel",,1615,1676,ca. 1676
"Trip, Elias",,1570,1636-01-05,um 1570
"Vaquerie, Wignand Bourghelles de la",,,,
"Venekook, Jacob",Vennecool,,,
"Vennekool, Steven",Venenckool,1657,1719,
"Velde, Willem Joris van de",,,,
"Verghagen, E. Ewout",,,,
"Verhulst, Rombout",,1624,1698,
"Vinck, Julius",,,,
"Vingboons, Philip",Vinckeboons,1607,1678,
"Vlack, Cornelis",,,,
"Vogelsang, Arend",,,,
"Vos, Philip de",,,,
"Voß, Wilhelm",,,,
"Vries, Gerrit de",,,,
"Wagner, Hans Ernst von",,,,
"Walbeeck, Johan",,,,
"Wouters, Rijck",,,,
"Wulff, M. Hanss",,,,
"Wylkens, Joh.",,,,
