Name,andere Schreibweisen,Geburtszeitpunkt,Sterbezeitpunkt,Kommentar
"Verhoeck, Pieter",,1633-09-04,1707-09-29,
"Verhoeck, Johannes",,,,
"Braunschweig, Erich Herzog zu",und Limburg,1529-08-10,1584-02-11,
"Holstein-Schaumburg, Otto IV. Graf zu",,1517,1576-12-22,
"Seron, Andries de",,1500,,ca 1500
"Mido, Nikolaus",,1543,1565,
"Medici, Maria de",,1573-04-26,1642,
"Vos, Cornelis de",,1584,1651,ca 1584
"Clock, Jan Wybrantsz",,,,
"Bargrave, Robert",,,,
"Holwel, Gerret",,,,
"Steen, Jan",,,,
"Beets, Dirck Wijnantsz",,,,
"Spakenburgh, Jacob Lambertz",,,,
"Baes, Jan",,,,
"Fitzwilliam, William Lord",,,,
"Beerstraaten, Abraham",,1643,1665,
"Groot, Jan Anthony de",,1604,1712-12-17,
"Bakhuysen, Ludolf",,1631-12-18,1709,
"Musscher, Michiel van",,1645,1705,
"Vinne, Laurens van der",,1658,1729,
"Hase, Peter de",Haze,,,
"Hase, Jan de",Haze,,,
"Hase, Caspar de",Haze,,,
"Hesselem, Albert",,,,
"Lifflander, Hinreck",,,,
"Lix, Hendrick",,,,
"Drynere, Franchois de",,,,
"Boons, Jaspar",,,,
"Jacob, Meister",,,,
"Backere, Symon de",,,,
"Seron, Anthonis van",,,,
"Cantmetere, Jan de ",Landmetere,,,
"Parys, Peet van",,,,
